cases, Size,Avg,Std Dev,Avg Freq,Avg Err,Std Dev Err,Avg Freq Err
1, 256,8.59375,3.127205104355306,13.473684210526315,-1.831016512455347e-12,0.06435393312685649,13.473684210526315
2, 256,8.59765625,2.846090261993067,15.058823529411764,-3.051509240604988e-13,0.06327946482478757,15.058823529411764
3, 256,8.73046875,2.973347188759153,15.058823529411764,-3.0515347193560416e-13,0.06485703588176531,15.058823529411764
4, 256,8.59765625,3.111999920453399,15.058823529411764,9.155037838937119e-13,0.06777896129888047,15.058823529411764
5, 256,8.7890625,3.0140906832839027,16.0,-9.154803651267862e-13,0.06217493829836343,16.0
6, 256,8.3125,2.8291202817532257,15.058823529411764,-9.155465285643621e-13,0.06319706345819047,15.058823529411764
7, 256,8.37109375,3.3182478802973776,14.222222222222221,3.3569407019776176e-12,0.0712396416356393,14.222222222222221
8, 256,8.62890625,3.0600180018373466,14.222222222222221,3.0519173071976574e-13,0.05626690325080167,14.222222222222221
9, 256,8.4453125,3.325029485347667,15.058823529411764,3.0518923027850545e-13,0.04256571298367381,15.058823529411764
10, 256,8.33203125,2.772962840837696,18.285714285714285,3.356904164364405e-12,0.05269826423607243,18.285714285714285
