cases, Size,Avg,Std Dev,Avg Freq,Avg Err,Std Dev Err,Avg Freq Err
1, 256,3.90234375,2.602079555798762,28.444444444444443,-1.2207168886428687e-12,0.05254979577697924,28.444444444444443
2, 256,3.8203125,2.608984758596385,28.444444444444443,-1.5258761525897661e-12,0.061717114016075755,28.444444444444443
3, 256,3.8515625,2.7068246174815096,28.444444444444443,1.2206987265624136e-12,0.05397903607616134,28.444444444444443
4, 256,3.875,2.6627422102846103,28.444444444444443,1.831054747522586e-12,0.07379881315716802,28.444444444444443
5, 256,3.95703125,2.5425996760687863,28.444444444444443,2.136229857338344e-12,0.07078552322115664,28.444444444444443
6, 256,4.0625,2.485250608738542,28.444444444444443,2.746573171533758e-12,0.0657218741508434,28.444444444444443
7, 256,4.05859375,2.658409589231435,28.444444444444443,-3.0516707697880296e-13,0.0640927768521912,28.444444444444443
8, 256,4.04296875,2.5717372961848644,28.444444444444443,6.103432815846455e-13,0.06345385835540465,28.444444444444443
9, 256,4.109375,2.6663755968597918,28.444444444444443,3.0514366202352553e-13,0.050085632026431695,28.444444444444443
10, 256,3.81640625,2.633398679072574,28.444444444444443,9.155258084444064e-13,0.060178133053747244,28.444444444444443
